participant_id,source_clip_id,condition,scene_code,auc
P09,C04,RAW,TL,577.95686126736825
P09,C04,RAW,TL,545.50874420458922
P09,C13,RAW,TL,567.40223624455018
P09,C16,RAW,TL,787.2557490106924
P09,C16,RAW,TL,764.38672717548297
P09,C18,RAW,TL,551.31323919800047
P09,C18,RAW,TL,669.79332078501193
P10,C02,RAW,TL,477.00230286476409
P10,C03,RAW,TL,513.15148755400037
P10,C05,RAW,TL,645.51999657023634
P10,C06,RAW,TL,690.65504897436722
P10,C07,RAW,TL,585.78184429402847
P10,C17,RAW,TL,801.33703739193686
P10,C17,RAW,TL,717.50484427984225
P11,C17,RAW,TL,543.88713645131213
P11,C17,RAW,TL,577.40445591403181
P11,C07,RAW,TL,630.64575513138823
P11,C06,RAW,TL,555.35346273747336
P11,C05,RAW,TL,591.75456024530581
P11,C03,RAW,TL,524.12385334739542
P11,C02,RAW,TL,304.5669352317193
P12,C02,RAW,TL,602.03911799300352
P12,C03,RAW,TL,748.77336013139279
P12,C05,RAW,TL,721.91233376579419
P12,C06,RAW,TL,712.37129461981135
P12,C07,RAW,TL,727.42694920874249
P12,C17,RAW,TL,785.03418007149219
P12,C17,RAW,TL,698.47624736143916
P13,C18,RAW,TL,514.5149690077568
P13,C18,RAW,TL,410.22486113490243
P13,C16,RAW,TL,651.20314363620071
P13,C16,RAW,TL,621.98076590874621
P13,C13,RAW,TL,730.65769668198936
P13,C04,RAW,TL,629.43981032966497
P13,C04,RAW,TL,601.48646628469885
P14,C18,RAW,TL,547.83982623601719
P14,C18,RAW,TL,691.76868390181085
P14,C16,RAW,TL,518.92591317212532
P14,C16,RAW,TL,529.33720179034242
P14,C13,RAW,TL,537.34878399243087
P14,C04,RAW,TL,676.98409315618915
P14,C04,RAW,TL,581.20649605003939
P15,C17,RAW,TL,543.31438112695514
P15,C17,RAW,TL,565.99279729164391
P15,C07,RAW,TL,534.47437305340304
P15,C06,RAW,TL,586.39983795834996
P15,C05,RAW,TL,597.88662338952759
P15,C03,RAW,TL,557.99953587808466
P15,C02,RAW,TL,549.38834196540404
P16,C13,RAW,TL,745.43033161988046
P16,C18,RAW,TL,721.03737487943624
P16,C18,RAW,TL,787.0956085018164
P16,C04,RAW,TL,740.4804254447364
P16,C04,RAW,TL,731.08226570603904
P16,C16,RAW,TL,944.00282284120681
P16,C16,RAW,TL,777.28326491146731
P17,C02,RAW,TL,570.18139580320212
P17,C03,RAW,TL,622.62417982376928
P17,C05,RAW,TL,687.30213801736556
P17,C06,RAW,TL,663.43814100096597
P17,C07,RAW,TL,554.36121510035764
P17,C17,RAW,TL,611.12759525319916
P17,C17,RAW,TL,604.14715413309887
P18,C04,RAW,TL,602.71947723483538
P18,C04,RAW,TL,486.09360365962522
P18,C13,RAW,TL,750.65260214500438
P18,C16,RAW,TL,595.60011053348512
P18,C16,RAW,TL,585.85790525659058
P18,C18,RAW,TL,776.01093768094086
P18,C18,RAW,TL,710.95715176686724
P01,C17,RAW,TL,710.18733939678918
P01,C17,RAW,TL,529.09752611605279
P01,C07,RAW,TL,1026.6296494923797
P01,C06,RAW,TL,781.24946290899038
P01,C05,RAW,TL,761.13037036477988
P01,C03,RAW,TL,746.65297779829007
P01,C02,RAW,TL,808.10455457364401
P19,C17,RAW,TL,699.80491731715665
P19,C17,RAW,TL,793.34642527320307
P19,C07,RAW,TL,969.19124262039804
P19,C06,RAW,TL,666.18130635627824
P19,C05,RAW,TL,652.83741217740032
P19,C03,RAW,TL,737.7060959694503
P19,C02,RAW,TL,731.45474128100693
P20,C17,RAW,TL,572.15360213912959
P20,C17,RAW,TL,638.02150896423234
P20,C07,RAW,TL,502.46197743366639
P20,C06,RAW,TL,627.71354384324991
P20,C05,RAW,TL,512.47770361272069
P20,C03,RAW,TL,416.81069500422223
P20,C02,RAW,TL,437.73087525412802
P02,C02,RAW,TL,712.09839106000618
P02,C03,RAW,TL,639.91073639395609
P02,C05,RAW,TL,694.78332221123765
P02,C06,RAW,TL,920.42690868703619
P02,C07,RAW,TL,760.71337054274125
P02,C17,RAW,TL,814.12024975118413
