source_clip_id,condition,scenario_code,mean_distance_px,n_frames
C01,HUD,LR,229.97214635242264,156
C01,RAW,LR,262.07999837844778,156
C01,HUD,PLR,287.66486884584816,125
C01,RAW,PLR,316.82453319644367,125
C01,HUD,S,289.93838792418904,329
C01,RAW,S,300.52993981270305,329
C02,HUD,PTL,105.20869287080596,127
C02,RAW,PTL,95.587604724239398,127
C02,HUD,S,212.12288897841421,711
C02,RAW,S,228.76505216654726,711
C02,HUD,TL,319.15369654615779,122
C02,RAW,TL,301.61515409161558,122
C03,HUD,LL,364.30381296280393,127
C03,RAW,LL,365.73842055237725,127
C03,HUD,LR,362.82242380761744,81
C03,RAW,LR,372.11808573077178,81
C03,HUD,PLL,426.70712066252491,125
C03,RAW,PLL,484.14617304348985,125
C03,HUD,PLR,386.00290947356137,125
C03,RAW,PLR,461.06555857695366,125
C03,HUD,PTL,158.31488331540805,109
C03,RAW,PTL,127.52158116081819,109
C03,HUD,PTR,113.4931638098295,106
C03,RAW,PTR,120.60190056106579,106
C03,HUD,S,356.12012618321313,992
C03,RAW,S,358.75019245638128,992
C03,HUD,TL,331.03160269703056,118
C03,RAW,TL,310.92291052085289,118
C03,HUD,TR,295.12360144233304,77
C03,RAW,TR,254.84098203965038,77
C04,HUD,PTL,153.91656046886797,1503
C04,RAW,PTL,149.3099437187615,1503
C04,HUD,PTR,158.30312350566373,1061
C04,RAW,PTR,178.00211212064178,1061
C04,HUD,S,357.96289363180438,2521
C04,RAW,S,363.0788542221531,2521
C04,HUD,TL,367.30320484073678,257
C04,RAW,TL,362.09293768369389,257
C04,HUD,TR,402.75608560521846,143
C04,RAW,TR,387.13891344481209,143
C05,HUD,PTL,173.68251776919692,149
C05,RAW,PTL,151.94427507867533,149
C05,HUD,PTR,266.39137802832948,430
C05,RAW,PTR,243.4384915050575,430
C05,HUD,S,295.18843934573835,614
C05,RAW,S,311.99803410945481,614
C05,HUD,TL,318.86591696903395,106
C05,RAW,TL,274.42709135167087,106
C05,HUD,TR,293.5108774588021,186
C05,RAW,TR,311.01383100690009,186
C06,HUD,PTL,226.64402944074584,140
C06,RAW,PTL,225.51932537444966,140
C06,HUD,PTR,74.336010773278829,108
C06,RAW,PTR,85.211595449719084,108
C06,HUD,S,308.3519242822527,721
C06,RAW,S,318.80981556772224,721
C06,HUD,TL,296.7726591932626,136
C06,RAW,TL,283.53056517702851,136
C06,HUD,TR,295.3869559571695,130
C06,RAW,TR,330.90596309810326,130
C07,HUD,PTL,244.7324906787054,182
C07,RAW,PTL,226.94503822800513,182
C07,HUD,PTR,228.72475383501947,159
C07,RAW,PTR,232.42233469840625,159
C07,HUD,S,295.86341852547889,786
C07,RAW,S,310.5538598957645,786
C07,HUD,TL,338.51075335272623,122
C07,RAW,TL,337.7695545362443,122
C07,HUD,TR,318.63797444344647,111
C07,RAW,TR,296.19081115532737,111
C08,HUD,LR,176.16273149899112,351
C08,RAW,LR,176.84484699201525,351
C08,HUD,PLR,204.9545288375011,200
C08,RAW,PLR,201.87274631003399,200
C08,HUD,S,168.13484462958533,684
C08,RAW,S,170.54191763387203,684
C09,HUD,LR,297.9602511978274,313
C09,RAW,LR,339.62232482802438,313
C09,HUD,PLR,339.42766685911022,125
C09,RAW,PLR,414.09353879466846,125
C09,HUD,S,264.27135363733123,1072
C09,RAW,S,261.45625491672394,1072
C10,HUD,LL,291.8986670814748,112
C10,RAW,LL,343.00007963978351,112
