scenario_code,condition,n_frames,mean_distance_px,sd_distance_px,equal_variance_used
TL,HUD,1701,336.9527436839162,79.407887038958108,False
TL,RAW,1701,321.91954825650311,68.281003338950782,False
PTL,HUD,3620,180.18457640762369,99.737772445819743,False
PTL,RAW,3620,171.49152861133442,90.423421244932527,False
LL,HUD,1081,298.71975598857335,54.053608366417009,False
LL,RAW,1081,323.47889695930576,61.678839915084382,False
PLL,HUD,1000,329.43650302081386,70.804504873088732,True
PLL,RAW,1000,369.58722121996385,70.154578843888601,True
S,HUD,16079,294.96932524179454,56.060029909369888,False
S,RAW,16079,300.67332240554828,57.13959110088085,False
PLR,HUD,1124,302.07598543757172,77.557896258289205,False
PLR,RAW,1124,337.84142636334133,86.621713759147212,False
LR,HUD,1779,273.53612991600676,74.83530334032173,False
LR,RAW,1779,294.34119277010683,86.726687663999655,False
PTR,HUD,2738,177.63577977611166,137.11275450338266,True
PTR,RAW,2738,191.71886729042075,129.25164250898729,True
TR,HUD,1233,338.85819944787193,82.455549399625056,True
TR,RAW,1233,334.10041166857587,80.653056094377064,True
