participant_id,condition,scene_code,transition,probability
P01,HUD,LL,C->C,0.78194444444444444
P01,HUD,LL,C->L,0.18680555555555556
P01,HUD,LL,C->R,0.03125
P01,HUD,LL,L->C,0.59166666666666667
P01,HUD,LL,L->L,0.40833333333333333
P01,HUD,LL,L->R,0
P01,HUD,LL,R->C,0
P01,HUD,LL,R->L,0
P01,HUD,LL,R->R,0
P01,RAW,LL,C->C,0.98333333333333328
P01,RAW,LL,C->L,0
P01,RAW,LL,C->R,0.016666666666666649
P01,RAW,LL,L->C,0
P01,RAW,LL,L->L,0
P01,RAW,LL,L->R,0
P01,RAW,LL,R->C,0.25
P01,RAW,LL,R->L,0
P01,RAW,LL,R->R,0
P01,HUD,LR,C->C,0.94444444444444453
P01,HUD,LR,C->L,0
P01,HUD,LR,C->R,0.055555555555555532
P01,HUD,LR,L->C,0
P01,HUD,LR,L->L,0
P01,HUD,LR,L->R,0
P01,HUD,LR,R->C,0.32936507936507936
P01,HUD,LR,R->L,0
P01,HUD,LR,R->R,0.67063492063492058
P01,RAW,LR,C->C,0.98958333333333337
P01,RAW,LR,C->L,0.010416666666666666
P01,RAW,LR,C->R,0
P01,RAW,LR,L->C,0.055555555555555552
P01,RAW,LR,L->L,0.1111111111111111
P01,RAW,LR,L->R,0
P01,RAW,LR,R->C,0
P01,RAW,LR,R->L,0
P01,RAW,LR,R->R,0
P01,HUD,PLL,C->C,0.47916666666666663
P01,HUD,PLL,C->L,0.52083333333333326
P01,HUD,PLL,C->R,0
P01,HUD,PLL,L->C,0.1928661616161616
P01,HUD,PLL,L->L,0.80713383838383845
P01,HUD,PLL,L->R,0
P01,HUD,PLL,R->C,0
P01,HUD,PLL,R->L,0
P01,HUD,PLL,R->R,0
P01,RAW,PLL,C->C,1
P01,RAW,PLL,C->L,0
P01,RAW,PLL,C->R,0
P01,RAW,PLL,L->C,0
P01,RAW,PLL,L->L,0
P01,RAW,PLL,L->R,0
P01,RAW,PLL,R->C,0
P01,RAW,PLL,R->L,0
P01,RAW,PLL,R->R,0
P01,HUD,PLR,C->C,0.22500000000000001
P01,HUD,PLR,C->L,0
P01,HUD,PLR,C->R,0.77500000000000002
P01,HUD,PLR,L->C,0
P01,HUD,PLR,L->L,0
P01,HUD,PLR,L->R,0
P01,HUD,PLR,R->C,0.2476851851851852
P01,HUD,PLR,R->L,0
P01,HUD,PLR,R->R,0.75231481481481488
P01,RAW,PLR,C->C,0.90333333333333332
P01,RAW,PLR,C->L,0.016666666666666659
P01,RAW,PLR,C->R,0.079999999999999988
P01,RAW,PLR,L->C,0
P01,RAW,PLR,L->L,0
P01,RAW,PLR,L->R,0
P01,RAW,PLR,R->C,0.38
P01,RAW,PLR,R->L,0
P01,RAW,PLR,R->R,0.22000000000000003
P01,HUD,PTL,C->C,0.70931563882383553
P01,HUD,PTL,C->L,0.19723244489052449
P01,HUD,PTL,C->R,0.09345191628563991
P01,HUD,PTL,L->C,0.33397841895378838
P01,HUD,PTL,L->L,0.66602158104621156
P01,HUD,PTL,L->R,0
P01,HUD,PTL,R->C,0.41360544217687073
P01,HUD,PTL,R->L,0
P01,HUD,PTL,R->R,0.30068027210884357
P01,RAW,PTL,C->C,0.85073260073260071
P01,RAW,PTL,C->L,0.10164835164835163
P01,RAW,PTL,C->R,0.047619047619047616
